citekey,title,year,doi,priority,file_status,pdf_path,sha256,zotero_key
Wu2021Spatial,Spatial Intention Maps for Multi-Agent Mobile Manipulation,2021,10.1109/ICRA48506.2021.9561359,P3,present,literature/pdfs/Wu2021Spatial.pdf,9cd88e2690a2be53a7c1a3d26dc02d917da13b56df8f21ef01ceae9361295bd6,M6SKRUND
Hollinger2009Efficient,Efficient Multi-Robot Search for a Moving Target,2009,10.1177/0278364908099853,P2,present,literature/pdfs/Hollinger2009Efficient.pdf,ee5670e523170804d4fc4ddc4b5ef8152c96d303db20651431149328575ae5cd,G9L84YGW
TalebpourMartinoli2018IROS,Risk-Based Human-Aware Multi-Robot Coordination in Dynamic Environments Shared with Humans,2018,10.1109/IROS.2018.8593586,P3,present,literature/pdfs/TalebpourMartinoli2018IROS.pdf,29ac2f17c565e11b0f695e46610f4ab5c581d68136ebafc4ebc6c80253eeda5f,LVMQSNN6
TalebpourMartinoli2019Adaptive,Adaptive Risk-Based Replanning for Human-Aware Multi-Robot Task Allocation With Local Perception,2019,10.1109/LRA.2019.2926966,P3,missing,,,2966IFGA
CatellaniGabbiSabattini2025HMPCC,HMPCC: Human-Aware Model Predictive Coverage Control,2025,10.48550/arXiv.2512.12717,P2,present,literature/pdfs/CatellaniGabbiSabattini2025HMPCC.pdf,508630a374ce72d57f54ad37e07c27a3568424f5ee169a56af14b4e766634666,CUKX46A4
Bourgault2003Bayesian,Coordinated Decentralized Search for a Lost Target in a Bayesian World,2003,10.1109/IROS.2003.1250604,P2,missing,,,5CGPY6QN
Hollinger2011Underwater,Distributed Coordination and Data Fusion for Underwater Search,2011,10.1109/ICRA.2011.5979685,P2,present,literature/pdfs/Hollinger2011Underwater.pdf,549a328057c74dc66f508925cc9933dcfad0e579519410342217c9727cbcd8fd,BLM7DXIL
Hollinger2015Fusion,Distributed Data Fusion for Multirobot Search,2015,10.1109/TRO.2014.2378411,P2,present,literature/pdfs/Hollinger2015Fusion.pdf,60542eb18419b91f48f638d3881b79e1344ff6a02a02df2e4c5e4b7ed99852ef,9RUY62UL
Capitan2013Auctioned,Decentralized Multi-Robot Cooperation with Auctioned POMDPs,2013,10.1177/0278364913483345,P2,present,literature/pdfs/Capitan2013Auctioned.pdf,9cd20acfecf1dd1cd984f97373ceea61aae0a7bccef4626d17440708760c1468,67HHE2AP
Cortes2004Coverage,Coverage Control for Mobile Sensing Networks,2004,10.1109/TRA.2004.824698,P2,present,literature/pdfs/Cortes2004Coverage.pdf,06af662e4bfa3d1447724a0093f9bb82fbef66be81b575652a8b50ab0889344c,ZJKSGIWN
