citekey,title,year,venue,doi,category,novelty_threat,status_tags
Heintzman2021Anticipatory,Anticipatory Planning and Dynamic Lost Person Models for Human-Robot Search and Rescue,2021,2021 IEEE International Conference on Robotics and Automation (ICRA),10.1109/ICRA48506.2021.9562070,Closest anticipatory human–robot search,VERY HIGH,FULLY_READ
Cangan2020Anticipatory,Anticipatory Human-Robot Path Planning for Search and Rescue,2020,arXiv preprint arXiv:2009.03976,10.48550/arXiv.2009.03976,Closest anticipatory human–robot search,HIGH,FULLY_READ
Xie2011Intention,Intention-Based Coordination and Interface Design for Human-Robot Cooperative Search,2011,2011 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),10.1109/IROS.2011.6094688,Closest anticipatory human–robot search,VERY HIGH,FULLY_READ
KrzysiakButail2022Information,Information-Based Control of Robots in Search-and-Rescue Missions With Human Prior Knowledge,2022,IEEE Transactions on Human-Machine Systems,10.1109/THMS.2021.3113642,Closest same-team teleoperation/search,VERY HIGH,FULLY_READ
KrzysiakButail2025Movement,Human Prior Knowledge Estimation from Movement Cues for Information-Based Control of Mobile Robots during Search,2025,ACM Transactions on Human-Robot Interaction,10.1145/3706065,Closest same-team teleoperation/search,VERY HIGH,FULLY_READ
Ishii2023Enhancing,Enhancing Human-Robot Collaborative Object Search through Human Behavior Observation and Dialog,2023,2023 IEEE/CVF International Conference on Computer Vision Workshops (ICCVW),10.1109/ICCVW60793.2023.00199,Human–robot collaborative search and space sharing,VERY HIGH,FULLY_READ
LimMiuraHayashi2025SpaceSharing,Enhancing Human-Robot Collaborative Search Through Efficient Space Sharing with On-Demand Bidirectional Interaction,2025,Computer Vision – ECCV 2024 Workshops,10.1007/978-3-031-92591-7_2,Human–robot collaborative search and space sharing,HIGH,METADATA_VERIFIED
BestFitch2015Bayesian,Bayesian Intention Inference for Trajectory Prediction with an Unknown Goal Destination,2015,2015 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),10.1109/IROS.2015.7354203,Human/agent future-state prediction,MEDIUM,FULLY_READ
Swamy2020Scaled,Scaled Autonomy: Enabling Human Operators to Control Robot Fleets,2020,2020 IEEE International Conference on Robotics and Automation (ICRA),10.1109/ICRA40945.2020.9196792,Human–fleet intervention and allocation,HIGH,FULLY_READ
Lippi2023Task,A Task Allocation Framework for Human Multi-Robot Collaborative Settings,2023,2023 IEEE International Conference on Robotics and Automation (ICRA),10.1109/ICRA48891.2023.10161458,Human-aware task allocation,MEDIUM,FULLY_READ
TalebpourMartinoli2018ICRA,Multi-Robot Coordination in Dynamic Environments Shared with Humans,2018,2018 IEEE International Conference on Robotics and Automation (ICRA),10.1109/ICRA.2018.8460978,Human-aware multi-robot coordination,HIGH,METADATA_VERIFIED
TalebpourMartinoli2018IROS,Risk-Based Human-Aware Multi-Robot Coordination in Dynamic Environments Shared with Humans,2018,2018 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),10.1109/IROS.2018.8593586,Prediction-aware multi-robot allocation,VERY HIGH,FULLY_READ
TalebpourMartinoli2019Adaptive,Adaptive Risk-Based Replanning for Human-Aware Multi-Robot Task Allocation With Local Perception,2019,IEEE Robotics and Automation Letters,10.1109/LRA.2019.2926966,Prediction-aware multi-robot allocation,VERY HIGH,METADATA_VERIFIED
CatellaniGabbiSabattini2025HMPCC,HMPCC: Human-Aware Model Predictive Coverage Control,2025,2025 IEEE International Symposium on Multi-Robot and Multi-Agent Systems (MRS),10.48550/arXiv.2512.12717,Human-aware predictive coverage,MEDIUM,METADATA_VERIFIED
Wu2021Spatial,Spatial Intention Maps for Multi-Agent Mobile Manipulation,2021,2021 IEEE International Conference on Robotics and Automation (ICRA),10.1109/ICRA48506.2021.9561359,Spatial intention representation,MEDIUM,FULLY_READ
Bourgault2003Bayesian,Coordinated Decentralized Search for a Lost Target in a Bayesian World,2003,2003 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),10.1109/IROS.2003.1250604,Classical Bayesian multi-robot search,VERY HIGH,FULLY_READ
Hollinger2009Efficient,Efficient Multi-Robot Search for a Moving Target,2009,The International Journal of Robotics Research,10.1177/0278364908099853,Classical probabilistic search planning,VERY HIGH,FULLY_READ
Hollinger2011Underwater,Distributed Coordination and Data Fusion for Underwater Search,2011,2011 IEEE International Conference on Robotics and Automation (ICRA),10.1109/ICRA.2011.5979685,Marine probabilistic multi-robot search,VERY HIGH,FULLY_READ
Hollinger2015Fusion,Distributed Data Fusion for Multirobot Search,2015,IEEE Transactions on Robotics,10.1109/TRO.2014.2378411,Classical Bayesian multi-robot search,VERY HIGH,FULLY_READ
Capitan2013Auctioned,Decentralized Multi-Robot Cooperation with Auctioned POMDPs,2013,The International Journal of Robotics Research,10.1177/0278364913483345,Belief-space multi-robot coordination,HIGH,FULLY_READ_PRECURSOR
Cortes2004Coverage,Coverage Control for Mobile Sensing Networks,2004,IEEE Transactions on Robotics and Automation,10.1109/TRA.2004.824698,Classical coverage/responsibility,VERY HIGH,FULLY_READ
Fu2009LocalVoronoi,Local Voronoi Decomposition for Multi-Agent Task Allocation,2009,2009 IEEE International Conference on Robotics and Automation (ICRA),10.1109/ROBOT.2009.5152829,Classical spatial task decomposition,VERY HIGH,FULLY_READ
Mahboubi2013StaticMobile,Distributed Coverage Optimization in a Network of Static and Mobile Sensors,2013,2013 American Control Conference (ACC),10.1109/ACC.2013.6580919,Fixed/static resource coverage precedent,HIGH,FULLY_READ
Wang2007Bidding,Bidding Protocols for Deploying Mobile Sensors,2007,IEEE Transactions on Mobile Computing,10.1109/TMC.2007.1022,Fixed/static resource coverage precedent,HIGH,METADATA_VERIFIED
Du2003ConstrainedCVT,Constrained Centroidal Voronoi Tessellations for Surfaces,2003,SIAM Journal on Scientific Computing,10.1137/S1064827501391576,Coverage terminology/background,LOW,FULLY_READ
KimKim2025OpenFields,Coordinated Informative Path Planning for Multi-Robot Search in Open Fields,2025,Journal of Intelligent & Robotic Systems,10.1007/s10846-025-02270-z,Modern maritime/open-field search,HIGH,FULLY_READ
